id,doi,dim_rows,dim_cols,no_spp,ref_doi,ref_journal,ref_volume,ref_issue,ref_pages,ref_title,data_file,data_link,data_license
cab859b90-020a-418b-80fc-b7492378e92,10.1890/15-0846.1,21322,36,21322,,Ecology,96,,3109,"An amniote life-history database to perform comparative analyses with birds, mammals, and reptiles.",Amniote_Database_Aug_2015.csv,http://esapubs.org/archive/ecol/E096/269/,http://esapubs.org/archive/ecol/E096/269/Data_Files/Amniote_Database_Aug_2015.csv,CC0
z85a07642-9f49-408c-a16f-f71135d9450f,10.1002/ecy.1528,12036,31,,,Ecology,,,,"Global associations between birds and vane-dwelling feather mites",global_fmbird.csv,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1528/full,http://onlinelibrary.wiley.com/store/10.1002/ecy.1528/asset/supinfo/ecy1528-sup-0002-DataS1.zip?v=1&s=7aca47b5e1154e4a65d248f3bcc67e19b388bede,unknown
a7b74844-cabf-4176-9233-adf3b21f974b,10.5061/dryad.234,16468,6,,,Ecology Letters,12,4,351-366,"Towards a worldwide wood economics spectrum",GlobalWoodDensityDatabase.xls,http://datadryad.org/resource/doi:10.5061/dryad.234,http://datadryad.org/bitstream/handle/10255/dryad.235/GlobalWoodDensityDatabase.xls?sequence=1,CC0
a6fff969-de4b-4e99-8e2e-1b3864b8fe7e,10.1098/rsos.150277,169,6,,,Royal Society Open Science,3,,150277,"Diversification rates and phenotypic evolution in venomous snakes (Elapidae)",File_2_sizeData.xlsx,http://datadryad.org/resource/doi:10.5061/dryad.cr788,http://datadryad.org/bitstream/handle/10255/dryad.105009/File_2_sizeData.xlsx?sequence=1,CC0
